Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
755,17-04-2018,La Liga,Celta de Vigo,2-2,FC Barcelona,Substitute,31,0,0,0,10
754,14-04-2018,La Liga,FC Barcelona,2-1,Valencia,Starter,90,0,0,0,10
753,10-04-2018,UEFA Champions League,AS Roma,3-0,FC Barcelona,Starter,90,0,0,1,10
752,07-04-2018,La Liga,FC Barcelona,3-1,Leganés,Starter,90,3,0,0,10
751,04-04-2018,UEFA Champions League,FC Barcelona,4-1,AS Roma,Starter,90,0,0,0,10
750,31-03-2018,La Liga,Sevilla,2-2,FC Barcelona,Substitute,33,1,0,0,10
749,18-03-2018,La Liga,FC Barcelona,2-0,Athletic de Bilbao,Starter,90,1,0,0,10
748,14-03-2018,UEFA Champions League,FC Barcelona,3-0,Chelsea,Starter,90,2,1,0,10
747,04-03-2018,La Liga,FC Barcelona,1-0,Atlético Madrid,Starter,90,1,0,1,10
746,01-03-2018,La Liga,Las Palmas,1-1,FC Barcelona,Starter,90,1,0,0,10
745,24-02-2018,La Liga,FC Barcelona,6-1,Girona,Starter,90,2,1,0,10
744,20-02-2018,UEFA Champions League,Chelsea,1-1,FC Barcelona,Starter,90,1,0,0,10
